Annotation Cluster 1,Enrichment Score: 9.687393599584103,,,,,,,,,,,
Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_CC_FAT,GO:0005578~proteinaceous extracellular matrix,52,5.383022774,1.80E-11,"PXDN, POSTN, NOV, SLC1A3, WISP1, HMCN1, GPC3, GPC6, COL12A1, LOX, SPON2, COL11A1, MMP12, SLIT2, SLIT3, ADAMTS6, ADAMTS8, NAV2, COL1A2, MFAP2, COL1A1, ADAMTS3, FRAS1, ADAMTS17, ADAMTS19, ADAMTSL1, ADAMTS14, TNC, ELN, COL3A1, COL6A6, PTN, FBN2, AGRN, ADAMTS12, LAMB1, ENTPD1, ANGPTL4, THBS4, FN1, COL18A1, FLRT2, NID2, COL5A2, COL4A6, COL5A1, LAMA4, COL14A1, SFRP1, FREM1, THSD4, CFDP1",727,360,14413,2.863655815,1.29E-08,4.28E-09,2.72E-08
GOTERM_CC_FAT,GO:0031012~extracellular matrix,63,6.52173913,1.95E-10,"PXDN, POSTN, EDIL3, NOV, GPC3, SLC1A3, WISP1, HMCN1, GPC6, TUBB5, COL12A1, LOX, SPON2, COL11A1, CCT6A, MMP14, SLIT2, MMP12, SLIT3, ADAMTS6, ADAMTS8, NAV2, CFL1, COL1A2, MFAP2, COL1A1, TGFB1I1, ADAMTS3, FRAS1, ADAMTS17, ADAMTSL1, ADAMTS19, ADAMTS14, TNC, COL3A1, ELN, VIM, COL6A6, PTN, ADAMTS12, FBN2, AGRN, ENTPD1, LAMB1, THBS1, ANGPTL4, FN1, THBS4, COL18A1, FLRT2, CKAP4, NID2, COL5A2, COL4A6, COL5A1, LAMA4, COL14A1, SFRP1, SFPQ, FREM1, THSD4, CFDP1, BMP7",727,520,14413,2.401912496,1.39E-07,2.79E-08,2.95E-07
GOTERM_CC_FAT,GO:0044420~extracellular matrix component,27,2.795031056,2.47E-09,"FRAS1, TNC, COL3A1, ELN, HMCN1, SLC1A3, COL12A1, PTN, AGRN, FBN2, LAMB1, ENTPD1, COL11A1, THBS4, FN1, COL18A1, NID2, COL5A2, COL4A6, COL5A1, LAMA4, FREM1, THSD4, COL1A2, MFAP2, CFDP1, COL1A1",727,134,14413,3.994651912,1.76E-06,2.20E-07,3.73E-06
,,,,,,,,,,,,
Annotation Cluster 2,Enrichment Score: 9.162057139432155,,,,,,,,,,,
Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_BP_FAT,GO:0008283~cell proliferation,154,15.94202899,4.92E-14,"BMP10, MTSS1, PRC1, HMGCR, STRN, PTTG1, REST, AURKB, MCM10, CBX8, TPD52, CNOT6, MAGED1, NOV, ROBO1, GATA6, GNG2, PTBP2, CCNA2, ASPM, PITX2, PTPRK, PTPRF, SKP2, SIX2, TACC3, VASH2, STK3, NCAM1, VEGFC, UHRF1, ROR2, CDCA7L, ATPIF1, SMARCA1, DBN1, HMGB1, HMGB2, ERBB4, ERBB2, PTH1R, BEX1, SOX5, IGF2BP1, SOX4, CHEK1, SOX9, SRC, SEMA5A, VDR, NCAPG2, NPM1, PEMT, RTKN2, SCARB1, HELLS, FN1, COL18A1, DIXDC1, VAV3, MKI67, SMAD6, FTO, KLF11, CD276, BRIP1, ATAD5, DOCK7, TET1, FOXP2, CDKN1C, CDKN1B, SFRP1, SALL1, H3F3B, TCF19, BMP7, MYH10, E2F1, MAD1L1, ELF4, FIGNL1, MARCKSL1, E2F7, TBX20, UCHL1, E2F8, CD1D1, GLI2, GLI3, SPRY2, CASP3, MCM7, WISP1, GPC3, HEY2, MYC, KDM5B, DHCR24, CDC7, CDK1, RSU1, SSBP3, LYN, SOX11, CDK6, MMP14, SLIT2, MMP12, CDK2, SLIT3, NCK2, TNFRSF9, DDR1, CCND1, CCND2, BTG1, RRM1, ZFPM2, NRK, EIF5A2, TBX18, MELK, SHCBP1, CKS1B, TNC, VIM, POLA1, CD109, NFYA, CDH3, CD24A, TCF7L2, HDGFRP3, ZFP36L1, IGF1R, ALDH1A2, BCL11B, PTN, CNN1, THBS1, THBS4, NASP, BIRC5, IGF2, C330027C09RIK, RACGAP1, SH3BP4, ID2, AKR1C18, CDON, KIF20B, GDF11, PBX1",801,1874,17911,1.837546983,3.27E-10,2.18E-11,9.64E-11
GOTERM_BP_FAT,GO:0042127~regulation of cell proliferation,132,13.66459627,2.46E-11,"BMP10, MTSS1, PRC1, HMGCR, STRN, REST, PTTG1, TPD52, CBX8, CNOT6, MAGED1, NOV, CDCA7, ROBO1, GATA6, PTBP2, CCNA2, ASPM, PITX2, PTPRK, PTPRF, SKP2, SIX2, VASH2, STK3, NCAM1, VEGFC, ROR2, CDCA7L, ATPIF1, SMARCA1, HMGB1, HMGB2, ERBB4, ERBB2, PTH1R, BEX1, SOX4, CHEK1, SOX9, SRC, SEMA5A, VDR, NPM1, RTKN2, PEMT, FN1, COL18A1, VAV3, SMAD6, FTO, KLF11, CD276, BRIP1, ATAD5, TET1, BRCA1, FOXP2, CDKN1C, CDKN1B, SFRP1, SALL1, DNMT1, CFDP1, TNK2, BMP7, E2F1, MAD1L1, MARCKSL1, E2F7, EZH2, TBX20, CD1D1, GLI2, GLI3, SPRY2, CASP3, WISP1, GPC3, HEY2, MYC, KDM5B, DHCR24, CDC7, CDK1, RSU1, SSBP3, LYN, SOX11, CDK6, SLIT2, MMP12, CDK2, SLIT3, NCK2, TNFRSF9, DDR1, CCND1, CCND2, BTG1, ZFPM2, NRK, EIF5A2, TBX18, SHCBP1, TNC, VIM, CD109, NFYA, CDH3, CD24A, TCF7L2, ZFP36L1, IGF1R, ALDH1A2, DHCR7, BCL11B, PTN, CNN1, THBS1, THBS4, TXNIP, IGF2, BIRC5, C330027C09RIK, SH3BP4, ID2, AKR1C18, CDON, GDF11, KIF20B, PBX1",801,1642,17911,1.797579457,1.63E-07,5.26E-09,4.82E-08
GOTERM_BP_FAT,GO:0008284~positive regulation of cell proliferation,79,8.17805383,9.63E-08,"E2F1, BMP10, PRC1, MARCKSL1, HMGCR, TBX20, CD1D1, CBX8, TPD52, GLI2, CNOT6, GLI3, WISP1, GATA6, HEY2, KDM5B, CCNA2, MYC, ASPM, PITX2, CDC7, CDK1, SSBP3, RSU1, LYN, SOX11, SKP2, SIX2, CDK6, VASH2, CDK2, MMP12, NCAM1, NCK2, VEGFC, CCND1, CCND2, CDCA7L, ZFPM2, TBX18, EIF5A2, HMGB1, HMGB2, ERBB4, TNC, ERBB2, VIM, PTH1R, BEX1, SOX4, NFYA, SOX9, CDH3, CD24A, TCF7L2, SEMA5A, ALDH1A2, IGF1R, NPM1, RTKN2, PTN, THBS1, FN1, THBS4, COL18A1, VAV3, CD276, ATAD5, IGF2, C330027C09RIK, TET1, FOXP2, CDKN1B, SFRP1, ID2, AKR1C18, CDON, KIF20B, PBX1",801,943,17911,1.873280086,6.39E-04,6.20E-06,1.89E-04
