Annotation Cluster 1,Enrichment Score: 21.344612414979288,,,,,,,,,,,
Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR
GOTERM_CC_FAT,GO:0005739~mitochondrion,254,25.73454914,4.04E-49,"LDHB, MRPL41, PDP2, SLC9A6, LDHD, GM1818, OGDH, TMEM143, GOT2, BDNF, TRAK2, MRPL37, PDHA1, GPT2, HIGD1A, PDPR, OPA3, BSG, MRPL50, NUDT13, LYRM5, SUCLG1, GLUL, CD36, DLD, ATP5C1, MPST, MDH1, ALDOA, TXN2, FDX1, CHCHD1, ISOC2A, OAS2, SDHAF2, HADHB, QRSL1, DUSP18, ALDH4A1, GPD1, PTGR2, MAOB, ACACB, DLAT, PTPN11, ADAP2, CHCHD10, PTCD3, MLYCD, COX6A2, ACAD12, GM10250, SLC27A1, BNIP3, PTEN, MTFR1, AUH, GM561, LONP1, DNAJC15, VDAC3-PS1, P4HA1, FITM2, ATP5S, TRMT5, SYNJ2, ATP5L, ATP5K, MRPL1, NDUFB11, MRPL4, NDUFB10, NDUFA13, CBR4, DECR1, NDUFA10, NDUFA11, 2010107E04RIK, CYP27A1, G0S2, TUFM, BCAT2, SORD, ECH1, ABCD1, HK2, TACO1, PLIN5, ACSL1, CBR2, MMACHC, CKMT2, ABCD2, ETFDH, PDHX, ETFB, BCKDHA, PDK2, COX7A1, CS, AMACR, MRPL30, PHYH, STAT3, SOD2, SDHB, TFRC, MTFP1, PLN, TMTC1, LRP5, DMPK, SLC25A20, CISD2, SLC16A1, ACSS1, CISD1, UQCR11, GHITM, CPOX, SLC25A29, TFB2M, SPR, AKR7A5, ALDH6A1, FECH, GM9755, TMEM126A, CLPX, DDIT4, COX6C, ISCU, SLC25A34, SLC25A33, CLPP, MAVS, ME1, MRPS16, ME3, MRPS14, CLU, COX7C, FTH1, MUT, TOMM5, P2RY2, PPL, GSTK1, P2RY1, PPTC7, GABARAPL1, COX8B, MMADHC, AK4, IDH3A, ATAD1, MMAA, NDUFV3, SLC25A11, SLC25A13, AK157302, NDUFV2, ALDH2, COQ10B, 2310002L09RIK, COQ10A, RHBDL3, IER3, ACOX1, UQCRC1, CPT2, AGTPBP1, CYC1, OGDHL, PINK1, ECHDC3, PRDX3, UQCRFS1, NDUFS7, NDUFS6, ALAS1, NDUFS5, ALAS2, 0610009O20RIK, PXMP2, ACOT13, CAT, CDK5RAP1, SUCLA2, NDUFS3, RTN4IP1, SUOX, SQRDL, NOL3, ACADM, CYCS, PROSC, TIMM23, COQ7, LPIN1, COQ5, IMMP1L, MFN2, ACADVL, ISCA1, COQ3, MFN1, TMEM65, DHRS4, ATG4D, DGAT2, PPM1K, PRDX6, CTSB, ATPAF1, GPAM, GSTP1, UQCRB, NDUFB3, NDUFB4, NDUFB5, GLRX5, NDUFB6, SAMM50, NDUFB7, NDUFB9, FKBP4, ETHE1, ATP5G1, ATP5G3, ADH1, OXCT1, LACTB, BDH1, NDUFA4, ALKBH7, DLST, NDUFA2, 2410015M20RIK, NDUFA3, NDUFA8, NDUFA9, PSAP, ABCA8B, ABCA8A, ATP5F1, SIRT5, BCS1L, NDUFA1, DBT, GCK, L2HGDH, SCP2, D10JHU81E",805,1792,14413,2.537781444,2.76E-46,2.76E-46,6.08E-46
GOTERM_CC_FAT,GO:0044429~mitochondrial part,161,16.31205674,4.87E-44,"MRPL41, LDHD, GM1818, OGDH, DMPK, GOT2, SLC25A20, CISD2, ACSS1, BDNF, CISD1, GHITM, UQCR11, CPOX, SLC25A29, MRPL37, TFB2M, PDHA1, HIGD1A, PDPR, FECH, SUCLG1, TMEM126A, CLPX, COX6C, ISCU, SLC25A34, SLC25A33, CLPP, DLD, ATP5C1, MPST, MAVS, MRPS16, ME3, MRPS14, FDX1, CHCHD1, CLU, COX7C, SDHAF2, HADHB, DUSP18, MUT, TOMM5, GSTK1, ALDH4A1, COX8B, MAOB, AK4, DLAT, NDUFV3, SLC25A11, ADAP2, AK157302, CHCHD10, SLC25A13, MLYCD, NDUFV2, ALDH2, COX6A2, COQ10B, RHBDL3, GM10250, SLC27A1, UQCRC1, CPT2, CYC1, PINK1, BNIP3, UQCRFS1, NDUFS7, NDUFS6, LONP1, NDUFS5, ALAS1, DNAJC15, VDAC3-PS1, ALAS2, ATP5S, TRMT5, ATP5L, SYNJ2, CAT, NDUFS3, ATP5K, RTN4IP1, SQRDL, MRPL1, SUOX, NDUFB11, ACADM, NDUFB10, CYCS, NDUFA13, CBR4, TIMM23, NDUFA10, COQ7, LPIN1, COQ5, NDUFA11, ACADVL, IMMP1L, MFN2, ISCA1, COQ3, MFN1, 2010107E04RIK, ATG4D, CYP27A1, PPM1K, GPAM, UQCRB, NDUFB3, TUFM, NDUFB4, NDUFB5, GLRX5, NDUFB6, SORD, SAMM50, NDUFB7, NDUFB9, ETHE1, HK2, ATP5G1, ATP5G3, ACSL1, CBR2, OXCT1, CKMT2, ETFDH, BDH1, PDHX, ETFB, BCKDHA, NDUFA4, PDK2, ALKBH7, NDUFA2, 2410015M20RIK, NDUFA3, NDUFA8, COX7A1, NDUFA9, ABCA8B, CS, ABCA8A, ATP5F1, SIRT5, BCS1L, MRPL30, NDUFA1, STAT3, SOD2, SDHB, DBT, MTFP1, PLN, SCP2",805,870,14413,3.313333333,3.33E-41,1.67E-41,7.32E-41
GOTERM_CC_FAT,GO:0005743~mitochondrial inner membrane,94,9.523809524,3.21E-32,"GM10250, SLC27A1, UQCRC1, CPT2, CYC1, LDHD, PINK1, UQCRFS1, GOT2, NDUFS7, SLC25A20, NDUFS6, DNAJC15, BDNF, NDUFS5, UQCR11, GHITM, ALAS2, ATP5S, CPOX, SLC25A29, ATP5L, NDUFS3, HIGD1A, ATP5K, SQRDL, NDUFB11, FECH, NDUFB10, SUCLG1, TMEM126A, NDUFA13, COQ7, TIMM23, NDUFA10, CLPX, COQ5, NDUFA11, COX6C, ACADVL, IMMP1L, 2010107E04RIK, COQ3, SLC25A34, CYP27A1, SLC25A33, ATP5C1, GPAM, MPST, UQCRB, NDUFB3, TUFM, NDUFB4, NDUFB5, NDUFB6, SAMM50, NDUFB7, FDX1, NDUFB9, COX7C, ATP5G1, ATP5G3, HADHB, DUSP18, CKMT2, GSTK1, ETFDH, BDH1, NDUFA4, 2410015M20RIK, NDUFA2, NDUFA3, COX7A1, COX8B, NDUFA8, NDUFA9, ABCA8B, MAOB, ABCA8A, ATP5F1, SIRT5, BCS1L, NDUFA1, STAT3, SOD2, NDUFV3, SDHB, SLC25A11, SLC25A13, MTFP1, NDUFV2, COX6A2, COQ10B, RHBDL3",805,415,14413,4.05544264,2.20E-29,7.33E-30,4.83E-29
GOTERM_CC_FAT,GO:0005740~mitochondrial envelope,119,12.05673759,1.78E-31,"LDHD, OGDH, DMPK, GOT2, SLC25A20, CISD2, BDNF, CISD1, GHITM, UQCR11, CPOX, SLC25A29, HIGD1A, FECH, SUCLG1, TMEM126A, CLPX, COX6C, SLC25A34, SLC25A33, ATP5C1, MPST, MAVS, FDX1, CLU, COX7C, HADHB, DUSP18, TOMM5, GSTK1, COX8B, MAOB, NDUFV3, SLC25A11, ADAP2, CHCHD10, SLC25A13, NDUFV2, COX6A2, COQ10B, RHBDL3, GM10250, SLC27A1, UQCRC1, CPT2, CYC1, BNIP3, PINK1, UQCRFS1, NDUFS7, NDUFS6, DNAJC15, NDUFS5, ALAS2, VDAC3-PS1, ATP5S, SYNJ2, ATP5L, CAT, NDUFS3, RTN4IP1, ATP5K, SQRDL, SUOX, NDUFB11, ACADM, NDUFB10, CYCS, NDUFA13, TIMM23, COQ7, NDUFA10, LPIN1, COQ5, NDUFA11, ACADVL, MFN2, IMMP1L, MFN1, 2010107E04RIK, COQ3, CYP27A1, GPAM, UQCRB, TUFM, NDUFB3, NDUFB4, NDUFB5, SORD, NDUFB6, SAMM50, NDUFB7, NDUFB9, HK2, ATP5G1, ATP5G3, ACSL1, CKMT2, ETFDH, BDH1, NDUFA4, 2410015M20RIK, NDUFA2, NDUFA3, COX7A1, NDUFA8, NDUFA9, ABCA8B, ABCA8A, ATP5F1, SIRT5, BCS1L, NDUFA1, STAT3, SOD2, SDHB, PLN, MTFP1, SCP2",805,652,14413,3.267818085,1.22E-28,3.04E-29,2.68E-28
GOTERM_CC_FAT,GO:0031966~mitochondrial membrane,114,11.55015198,2.84E-31,"LDHD, OGDH, DMPK, GOT2, SLC25A20, CISD2, BDNF, GHITM, UQCR11, CISD1, CPOX, SLC25A29, HIGD1A, FECH, SUCLG1, TMEM126A, CLPX, COX6C, SLC25A34, SLC25A33, ATP5C1, MPST, MAVS, FDX1, CLU, COX7C, HADHB, DUSP18, TOMM5, GSTK1, COX8B, MAOB, NDUFV3, SLC25A11, SLC25A13, NDUFV2, COX6A2, COQ10B, RHBDL3, GM10250, SLC27A1, UQCRC1, CPT2, CYC1, BNIP3, PINK1, UQCRFS1, NDUFS7, NDUFS6, DNAJC15, NDUFS5, ALAS2, VDAC3-PS1, ATP5S, SYNJ2, ATP5L, NDUFS3, RTN4IP1, ATP5K, SQRDL, NDUFB11, ACADM, NDUFB10, NDUFA13, TIMM23, COQ7, NDUFA10, LPIN1, COQ5, NDUFA11, ACADVL, MFN2, IMMP1L, MFN1, 2010107E04RIK, COQ3, CYP27A1, GPAM, UQCRB, TUFM, NDUFB3, NDUFB4, NDUFB5, SORD, NDUFB6, SAMM50, NDUFB7, NDUFB9, HK2, ATP5G1, ATP5G3, ACSL1, CKMT2, ETFDH, BDH1, NDUFA4, 2410015M20RIK, NDUFA2, NDUFA3, COX7A1, NDUFA8, NDUFA9, ABCA8B, ABCA8A, ATP5F1, SIRT5, BCS1L, NDUFA1, STAT3, SOD2, SDHB, PLN, MTFP1, SCP2",805,607,14413,3.362595803,1.94E-28,3.88E-29,4.27E-28
GOTERM_CC_FAT,GO:0019866~organelle inner membrane,96,9.726443769,2.14E-29,"GM10250, SLC27A1, UQCRC1, CPT2, CYC1, LDHD, PINK1, UQCRFS1, GOT2, NDUFS7, SLC25A20, NDUFS6, DNAJC15, NDUFS5, BDNF, UQCR11, GHITM, ALAS2, ATP5S, CPOX, SLC25A29, ATP5L, NDUFS3, HIGD1A, ATP5K, SQRDL, NDUFB11, FECH, NDUFB10, SUCLG1, TMEM126A, NDUFA13, COQ7, TIMM23, NDUFA10, CLPX, COQ5, NDUFA11, COX6C, ACADVL, IMMP1L, 2010107E04RIK, COQ3, SLC25A34, CYP27A1, SLC25A33, ATP5C1, GPAM, MPST, UQCRB, NDUFB3, TUFM, NDUFB4, NDUFB5, NDUFB6, SAMM50, NDUFB7, FDX1, NDUFB9, COX7C, ATP5G1, ATP5G3, HADHB, DUSP18, CKMT2, GSTK1, ETFDH, BDH1, RNF13, NDUFA4, 2410015M20RIK, NDUFA2, NDUFA3, COX7A1, COX8B, NDUFA8, NDUFA9, ABCA8B, MAOB, ABCA8A, ATP5F1, SIRT5, BCS1L, NDUFA1, STAT3, SOD2, P2RX5, NDUFV3, SDHB, SLC25A11, SLC25A13, MTFP1, NDUFV2, COX6A2, COQ10B, RHBDL3",805,467,14413,3.680551159,1.46E-26,2.44E-27,3.22E-26
GOTERM_CC_FAT,GO:0044455~mitochondrial membrane part,59,5.977710233,1.24E-26,"GM10250, UQCRC1, CYC1, PINK1, BNIP3, UQCRFS1, DMPK, NDUFS7, NDUFS6, BDNF, NDUFS5, ATP5L, SYNJ2, NDUFS3, ATP5K, NDUFB11, NDUFB10, NDUFA13, COQ7, NDUFA10, TIMM23, COQ5, NDUFA11, IMMP1L, MFN2, 2010107E04RIK, COQ3, ATP5C1, UQCRB, NDUFB3, NDUFB4, NDUFB5, NDUFB6, SAMM50, NDUFB7, FDX1, NDUFB9, COX7C, ATP5G1, ATP5G3, DUSP18, TOMM5, ETFDH, BDH1, NDUFA4, 2410015M20RIK, NDUFA2, NDUFA3, NDUFA8, COX7A1, COX8B, NDUFA9, ATP5F1, NDUFA1, NDUFV3, SDHB, NDUFV2, COX6A2, SCP2",805,199,14413,5.30832423,8.49E-24,1.21E-24,1.87E-23
GOTERM_CC_FAT,GO:0098798~mitochondrial protein complex,53,5.369807497,2.42E-26,"GM10250, UQCRC1, CYC1, PINK1, UQCRFS1, NDUFS7, NDUFS6, NDUFS5, ATP5L, NDUFS3, ATP5K, NDUFB11, NDUFB10, SUCLG1, NDUFA13, NDUFA10, TIMM23, CLPX, NDUFA11, IMMP1L, 2010107E04RIK, ATP5C1, UQCRB, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB7, SAMM50, NDUFB9, COX7C, ATP5G1, ATP5G3, HADHB, TOMM5, ETFDH, ETFB, NDUFA4, BCKDHA, PDK2, NDUFA2, 2410015M20RIK, NDUFA3, NDUFA8, COX8B, NDUFA9, ATP5F1, DLAT, NDUFA1, NDUFV3, SDHB, NDUFV2, COX6A2",805,161,14413,5.893977856,1.66E-23,2.07E-24,3.64E-23
GOTERM_CC_FAT,GO:1990204~oxidoreductase complex,42,4.255319149,1.93E-25,"NDUFB3, NDUFB4, NDUFB5, NDUFB6, UQCRC1, NDUFB7, NDUFB9, OGDHL, CYC1, UQCRFS1, OGDH, NDUFS7, GPD1L, NDUFS6, NDUFS5, P4HA2, P4HA1, PDHA1, NDUFS3, PDHX, BCKDHA, NDUFA4, DLST, PDK2, GPD1, NDUFA2, NDUFB11, NDUFA3, NDUFB10, NDUFA8, NDUFA9, NDUFA13, CBR4, DLAT, NDUFA10, NDUFA1, NDUFA11, NDUFV3, SDHB, DLD, NDUFV2, UQCRB",805,101,14413,7.445372363,1.32E-22,1.47E-23,2.90E-22
GOTERM_CC_FAT,GO:0031967~organelle envelope,146,14.7922999,5.79E-25,"LDHD, OGDH, AQP1, DMPK, GOT2, SLC25A20, CISD2, BDNF, CISD1, GHITM, UQCR11, CPOX, SLC25A29, HIGD1A, FECH, SUCLG1, CST3, TMEM126A, CLPX, COX6C, SLC25A34, SLC25A33, ATP5C1, DST, MPST, MAVS, MRPS14, FDX1, CLU, COX7C, HADHB, DUSP18, TOMM5, GSTK1, TFDP2, IIGP1, AI464131, RAP1GAP2, RNF13, COX8B, MAOB, NR4A1, P2RX5, NDUFV3, SLC25A11, ADAP2, CHCHD10, SLC25A13, NDUFV2, COX6A2, COQ10B, ADRA1A, RHBDL3, GM10250, SLC27A1, UQCRC1, CPT2, CYC1, SORL1, BNIP3, PINK1, UQCRFS1, NDUFS7, NDUFS6, NDUFS5, TMEM109, DNAJC15, VDAC3-PS1, ALAS2, AEN, ATP5S, ATP5L, SYNJ2, CAT, NDUFS3, ATP5K, RTN4IP1, SQRDL, SUOX, NDUFB11, ACADM, NDUFB10, CYCS, TMEM38A, NDUFA13, TIMM23, NDUFA10, COQ7, LPIN1, COQ5, NDUFA11, ACADVL, IMMP1L, MFN2, MFN1, 2010107E04RIK, COQ3, DHRS4, CYP27A1, PTGDS, KPNA4, KPNA3, GPAM, KPNA2, KPNA1, UQCRB, TUFM, NDUFB3, NDUFB4, NDUFB5, NDUFB6, SORD, SAMM50, NDUFB7, NDUFB9, HK2, ATP5G1, ATP5G3, ACSL1, RB1CC1, CKMT2, ETFDH, GSTO1, BDH1, NDUFA4, NDUFA2, 2410015M20RIK, RRP12, NDUFA3, NDUFA8, COX7A1, NDUFA9, ABCA8B, ABCA8A, ATP5F1, SIRT5, BCS1L, NDUFA1, STAT3, SOD2, MGST3, SDHB, MTFP1, PLN, SCP2, RETSAT",805,1069,14413,2.445308496,3.96E-22,3.96E-23,8.71E-22
